strategy_dir,bbox_name,num_outputs,mean_index,mean_threshold,mean_inside_output_target_l1,mean_inside_output_target_mse,mean_outside_output_source_l1,mean_outside_output_source_mse,mean_outside_outer_output_source_l1,mean_outside_outer_output_source_mse,mean_whole_output_source_l1,mean_whole_output_target_l1,mean_clip_output_prompt_similarity,mean_clip_target_prompt_similarity,mean_lpips_output_target_whole,mean_lpips_output_source_whole,mean_lpips_output_target_inside_bbox,mean_lpips_output_source_inside_bbox,mean_changed_pixels,mean_bbox_pixels,mean_changed_bbox_iou,mean_changed_inside_bbox_ratio,mean_bbox_coverage_by_change,mean_changed_center_x,mean_changed_center_y,mean_changed_to_bbox_center_distance_px,mean_changed_to_bbox_center_distance_norm
strategy_b_corners,bottom_left,3,1.0,0.08,0.03934263996779919,0.004298649912622447,0.00970721283617119,0.0014222714041049282,0.009119365364313126,0.0013950375432614237,0.010521202658613523,0.054225812976559006,nan,nan,nan,nan,nan,nan,5923.666666666667,12170.666666666666,0.061195521418014515,0.09725680474080896,0.1313486080866699,170.96673329671225,388.902099609375,134.15956716450748,0.18528347598256897
strategy_b_corners,bottom_right,3,1.0,0.08,0.03799109347164631,0.006952494848519564,0.0,0.0,0.0,0.0,0.012177686983098587,0.057140000785390534,nan,nan,nan,nan,nan,nan,8621.0,83264.0,0.09262100312881565,1.0,0.09262100312881565,358.4598897298177,347.8297526041667,89.06579966514785,0.12300591975591518
strategy_b_corners,center,3,1.0,0.08,0.16517573098341623,0.06689466536045074,0.0,0.0,0.0,0.0,0.04154916728536288,0.05981621642907461,nan,nan,nan,nan,nan,nan,28872.666666666668,83264.0,0.3803937609699329,1.0,0.3803937609699329,247.1392567952474,254.5323944091797,23.609064699640964,0.03260572216130481
strategy_b_corners,original,3,1.0,0.08,0.19098164637883505,0.08086301634709041,0.0,0.0,0.0,0.0,0.03698472616573175,0.061326079070568085,nan,nan,nan,nan,nan,nan,24322.0,83264.0,0.3425943811685999,1.0,0.3425943811685999,251.13773600260416,262.1704355875651,24.784096877530903,0.034228521421262585
strategy_b_corners,top_left,3,1.0,0.08,0.08094359065095584,0.024994296332200367,0.0,0.0,0.0,0.0,0.013555861543864012,0.05561914357046286,nan,nan,nan,nan,nan,nan,8906.0,83264.0,0.10704352758063695,1.0,0.10704352758063695,134.7200673421224,209.67677561442056,78.24970680901106,0.10806816076271657
strategy_b_corners,top_right,3,1.0,0.08,0.023107473738491535,0.0014261723335948773,0.013992483417193094,0.0026378264980545887,0.013626230570177237,0.0026666543465883783,0.01465233756850163,0.058233230064312615,nan,nan,nan,nan,nan,nan,11023.333333333334,12170.666666666666,0.030107433856324056,0.09638408729172519,0.043986590422685934,329.0203806559245,179.26390584309897,197.96791503942063,0.2734071390268294
strategy_b_small-corners,bottom_left,3,1.0,0.08,0.039645121743281685,0.004410939252314468,0.0,0.0,0.0,0.0,0.0013379448403914769,0.047418457766373955,nan,nan,nan,nan,nan,nan,758.3333333333334,12170.666666666666,0.1331736206209521,1.0,0.1331736206209521,66.55506006876628,453.7972106933594,16.31980771316173,0.02253876308913512
strategy_b_small-corners,bottom_right,3,1.0,0.08,0.01134547513599197,0.002149106119759381,0.0,0.0,0.0,0.0,0.0016612499894108623,0.04772185844679674,nan,nan,nan,nan,nan,nan,1317.6666666666667,83264.0,0.012975673776455027,1.0,0.012975673776455027,450.24212646484375,463.5277099609375,188.75617046625342,0.2606850939990073
strategy_b_small-corners,center,3,1.0,0.08,0.12398046255111694,0.045638577391703926,0.0,0.0,0.0,0.0,0.007510715591100355,0.04932956583797932,nan,nan,nan,nan,nan,nan,5257.666666666667,83264.0,0.08103786296169109,1.0,0.08103786296169109,255.81269327799478,256.77061971028644,7.885709333523065,0.010890700281641033
strategy_b_small-corners,original,3,1.0,0.08,0.13981269299983978,0.052329592406749725,0.0,0.0,0.0,0.0,0.006960983349320789,0.0492074421296517,nan,nan,nan,nan,nan,nan,4849.0,83264.0,0.07177446215532153,1.0,0.07177446215532153,244.4824422200521,246.61578877766928,18.310432936090738,0.025287951749162624
strategy_b_small-corners,top_left,3,1.0,0.08,0.054912896205981575,0.019493697094731033,0.0,0.0,0.0,0.0,0.001375726123418038,0.04744690222044786,nan,nan,nan,nan,nan,nan,741.6666666666666,83264.0,0.00987017322954823,1.0,0.00987017322954823,100.32550811767578,46.78882026672363,101.4052114711628,0.14004748570100606
strategy_b_small-corners,top_right,3,1.0,0.08,0.022906188542644184,0.0014541502047601778,0.0,0.0,0.0,0.0,0.0013651763341234375,0.04743062208096186,nan,nan,nan,nan,nan,nan,785.0,12170.666666666666,0.04556579890147306,1.0,0.04556579890147306,436.2558186848958,58.06611887613932,33.917428941033386,0.04684227344651868
strategy_c_corners,bottom_left,3,1.0,0.08,0.15441171017785868,0.07111993719202776,0.05396516993641853,0.016476117850591738,0.05151744186878204,0.014817083099236092,0.055762377878030144,0.07861495390534401,nan,nan,nan,nan,nan,nan,33451.0,12170.666666666666,0.03691858883814513,0.046125251815931294,0.34186050372848126,231.3746134440104,288.1853739420573,244.70887049277803,0.33795957371473434
strategy_c_corners,bottom_right,3,1.0,0.08,0.07948283851146698,0.030241679400205612,0.02720018041630586,0.001858435998049875,0.027554106588164966,0.0018871224795778592,0.04011885200937589,0.07825093964735667,nan,nan,nan,nan,nan,nan,24925.333333333332,83264.0,0.15867447196698165,0.56982859153927,0.18186120014245014,308.27736409505206,287.55909729003906,149.0321362404209,0.20582350419984188
strategy_c_corners,center,3,1.0,0.08,0.18683679401874542,0.08357621977726619,0.032929275184869766,0.0031398767217372856,0.032481672863165535,0.0026762603859727583,0.07447367782394092,0.08488848184545834,nan,nan,nan,nan,nan,nan,48186.666666666664,83264.0,0.3606180423593989,0.7013860142988914,0.42434594160180095,253.1579386393229,256.4475555419922,37.60659766403947,0.05193726606561814
strategy_c_corners,original,3,1.0,0.08,0.18572695553302765,0.08082382380962372,0.03255469041566054,0.0028973566368222237,0.03333227212230364,0.0028831822952876487,0.07672053575515747,0.08144473284482956,nan,nan,nan,nan,nan,nan,50674.666666666664,83264.0,0.37955105291619945,0.7145087837350319,0.4470482454466829,250.65864054361978,253.5606231689453,36.612672657322996,0.05056458811202417
strategy_c_corners,top_left,3,1.0,0.08,0.11459617565075557,0.04039208528896173,0.0288277305662632,0.002266059978865087,0.028766877949237823,0.0022718564917643866,0.05541707202792168,0.07804849992195766,nan,nan,nan,nan,nan,nan,36004.0,83264.0,0.26231375819095265,0.6877967163653887,0.30354831619480055,195.08573404947916,212.31145985921225,86.49673053438816,0.11945786076431908
strategy_c_corners,top_right,3,1.0,0.08,0.03870332303146521,0.00807824541213146,0.04305713251233101,0.009947425685822964,0.04231344722211361,0.00957282492890954,0.04306350275874138,0.08062197516361873,nan,nan,nan,nan,nan,nan,27459.666666666668,12170.666666666666,0.03590988926059619,0.056995562766488345,0.0855244942323594,283.7755482991536,216.9388631184896,240.7624802882989,0.33250934075614963
strategy_c_small-corners,bottom_left,3,1.0,0.08,0.19878528515497842,0.08795009056727092,0.02925871064265569,0.002427359732488791,0.028587748606999714,0.0021299234746644893,0.03685496126612028,0.07487742354472478,nan,nan,nan,nan,nan,nan,22774.666666666668,12170.666666666666,0.20058394246050104,0.28010191836636106,0.5937162088847482,215.0123087565104,308.0776062011719,226.71848016313515,0.31311362254621217
